# repro_oop.jl relaxed, 0-D model only (relaxed_min.jl): Enzyme compile footprint
# elapsed_wall  cpu_time  rss_kB
      18:19 00:18:11 13140512
      19:19 00:19:10 13140512
      20:19 00:20:10 13140512
      21:19 00:21:09 13140512
      22:19 00:22:09 13140512
      23:19 00:23:09 13140512
      24:19 00:24:09 13140512
      25:19 00:25:08 13140512
      26:19 00:26:08 13140512
      27:19 00:27:08 13140512
      28:19 00:28:07 13140512
      29:19 00:29:07 13140512
      30:19 00:30:07 13140512
      31:19 00:31:07 13140512
      32:19 00:32:06 13140512
      33:19 00:33:06 13140512
      34:19 00:34:06 13140512
      35:19 00:35:05 13140512
      36:19 00:36:05 13140512
      37:19 00:37:04 13140512
      38:20 00:38:04 13140512
      39:20 00:39:03 13140512
      40:20 00:40:03 13140512
      41:20 00:41:02 13140512
      42:20 00:42:02 13140512
      43:20 00:43:01 13140512
      44:20 00:44:01 13140512
      45:20 00:45:01 13140512
      46:20 00:46:00 13140512
      47:20 00:47:00 13140512
      48:20 00:47:59 13140512
      49:20 00:48:59 13140512
      50:20 00:49:58 13140512
      51:20 00:50:58 13140512
      52:20 00:51:57 13140512
      53:20 00:52:57 13140512
      54:20 00:53:56 13140512
# process gone
